Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
1464818253.2028332,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.2525866,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818253.3054261,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.35009,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.4028578,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.4526024,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.5054321,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818253.5500784,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.6030836,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.652649,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.7054026,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.7500021,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818253.8028917,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.8526723,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818253.9054003,0.0,0.0,0.0,0.0,0.0,0.0
1464818253.9498978,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.0028188,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.0527468,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.1053355,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818254.149819,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.2027705,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.2526612,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.3065753,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.3499112,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818254.4028046,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818254.4526873,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.5053587,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.549757,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.6029103,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.6526082,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.70552,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.7497756,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.8028476,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.8525999,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818254.9052372,0.0,0.0,0.0,0.0,0.0,0.0
1464818254.9498253,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.0030923,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.052712,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.1054838,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.1499882,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.2028995,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.2531435,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818255.30547,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.3498063,0.008799993892572818,0.0,0.0,0.0,0.0,0.0
1464818255.4031005,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818255.453038,0.006599987790267909,0.0,0.0,0.0,0.0,0.0
1464818255.5054164,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.5498393,0.0022000061023049085,0.0,0.0,0.0,0.0,0.0
1464818255.6029813,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818255.652778,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.705329,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.7499125,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.8029284,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.8527982,0.0,0.0,0.0,0.0,0.0,0.0
1464818255.9053838,0.004400012204609817,0.0,0.0,0.0,0.0,0.0
1464818255.9499037,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.003019,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.0527718,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.105586,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.1502202,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.2029986,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.2528691,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.3054519,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.3503795,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.4028988,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.452696,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.5054567,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.549943,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.60303,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.652733,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.7053454,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.7498631,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.8029387,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.8526196,0.0,0.0,0.0,0.0,0.0,0.0
1464818256.905406,0.0,0.0,0.0,0.0,0.0,0.0
